#SubSets 3
#=ss1 ssFreq= 64 ========================================
#BK	iRange		jRange		kRange
#========================================================
0	000	019	019	019	000	192	
1	000	299	019	019	000	192	
2	000	119	019	019	000	192	
3	000	019	000	000	000	192	
4	000	299	000	000	000	192	
5	000	119	000	000	000	192	
#=ss1 ssFreq= 64 ========================================
#BK	iRange		jRange		kRange
#========================================================
0	000	-019	000	019	036	036	
1	000	-299	000	019	036	036	
2	000	-119	000	019	036	036	
3	000	-019	000	119	036	036	
4	000	 299	000	119	036	036	
5	000	-119	000	119	036	036	
#=ss1 ssFreq= 64 ========================================
#BK	iRange		jRange		kRange
#========================================================
0	000	019	000	019	084	084	
1	000	299	000	019	084	084	
2	000	119	000	019	084	084	
3	000	019	000	119	084	084	
4	000	299	000	119	084	084	
5	000	119	000	119	084	084	
